AÑO;MES;CONGLOME;VIVIENDA;HOGAR;CODPERSO;CODINFOR;UBIGEO;DOMINIO;ESTRATO;PERIODO;P2400A;P2400B;P2400C;P2400D;P2400E;P2400F;P2400G;P2400H;P2400I;P2400J;P2400K;P2400L;P2400M;FACTORA07;NCONGLOME;SUB_CONGLOME
2022;1;15024;118;11;1;1;10101;4;4;2;0;0;0;300;0;0;0;0;0;0;0;48;348;460.7420349;7073;1
2022;1;15058;83;11;1;1;10706;7;5;2;0;1151;80;40;4000;100;0;0;0;400;0;380;6151;282.3675842;6843;0
2022;1;15058;99;11;1;1;10706;7;5;2;0;0;240;0;0;33;0;0;0;0;0;35;308;269.3618469;6843;0
2022;1;15084;89;11;1;1;10504;4;7;3;0;470;500;425;0;100;0;0;0;198;0;100;1793;107.5546112;7009;0
2022;1;15084;90;11;1;1;10504;4;7;3;0;172;300;200;200;0;0;0;0;412;0;0;1284;45.00411606;7009;0
2022;1;15084;91;11;1;1;10504;4;7;3;0;102;775;0;0;30;0;0;0;60;0;0;967;104.2472382;7009;0
2022;1;15084;92;11;1;2;10504;4;7;3;0;190;100;150;200;0;0;0;0;250;0;0;890;107.5546112;7009;0
2022;1;15084;185;11;1;1;10504;4;7;3;0;34;0;95;0;0;0;0;0;27;0;0;156;51.5970459;7009;0
2022;1;15084;186;11;1;1;10504;4;7;3;0;824;1000;1500;300;300;0;0;0;190;0;150;4264;154.8477325;7009;0
2022;1;15084;187;11;1;1;10504;4;7;3;0;599;800;1700;0;0;0;0;0;319;0;0;3418;66.96996307;7009;0
2022;1;15084;188;11;1;1;10504;4;7;3;0;851;500;210;100;100;0;0;0;125;0;0;1886;76.414711;7009;0
2022;1;15103;1;11;1;1;10109;4;8;3;0;15;20;22;0;0;0;0;0;30;0;0;87;27.8174839;7158;0
2022;1;15103;2;11;1;1;10109;4;8;3;0;9;570;0;0;35;0;0;0;0;0;70;684;75.85458374;7158;0
2022;1;15103;3;11;1;1;10109;4;8;3;0;706;2540;260;0;80;0;0;0;50;0;505;4141;66.51013947;7158;0
2022;1;15103;4;11;1;1;10109;4;8;3;0;152;500;0;0;50;0;0;0;0;0;50;752;66.51013947;7158;0
2022;1;15103;29;11;1;1;10109;4;8;3;0;1280;1000;2400;160;150;360;0;0;190;0;0;5540;76.414711;7158;0
2022;1;15103;30;11;1;1;10109;4;8;3;0;285;170;150;0;30;0;0;0;200;0;0;835;71.59046173;7158;0
2022;1;15103;31;11;1;1;10109;4;8;3;0;1840;700;1600;0;80;150;0;0;135;0;12;4517;154.8477325;7158;0
2022;1;15103;32;11;1;1;10109;4;8;3;0;55;160;140;0;30;0;0;0;173;0;54;612;154.8477325;7158;0
2022;1;15109;4;11;1;1;10705;7;7;4;0;0;0;0;0;0;0;0;0;0;0;50;50;43.01672363;6869;0
2022;1;15109;123;11;1;2;10705;7;7;4;0;0;0;0;0;0;0;0;0;7;0;0;7;59.59428787;6869;0
2022;1;15109;124;11;2;2;10705;7;7;4;1000;250;2000;2000;0;0;0;0;0;0;0;1150;6400;45.78308487;6869;0
2022;1;15109;125;11;1;1;10705;7;7;4;0;92;30;100;0;0;0;0;0;5;0;0;227;59.59428787;6869;0
2022;1;15109;126;11;1;1;10705;7;7;4;0;240;1200;1240;1120;100;200;0;40;0;0;780;4920;45.78308487;6869;0
2022;1;15119;13;11;1;1;10522;7;6;2;0;20;0;44;0;0;0;0;0;0;0;0;64;62.70922089;7025;2
2022;1;15119;31;11;1;1;10522;7;6;2;0;56;0;19;400;0;0;0;0;50;0;0;525;41.49285507;7025;2
2022;1;15119;39;11;1;1;10522;7;6;2;0;0;0;0;0;0;0;0;0;0;0;45;45;43.01672363;7025;2
2022;1;15119;47;11;1;1;10522;7;6;2;0;20;0;0;0;0;0;0;0;0;0;0;20;21.33889008;7025;2
2022;1;15119;80;11;1;1;10522;7;6;2;0;1;0;0;0;0;0;0;0;0;0;0;1;48.64837646;7025;2
2022;1;15122;10;11;1;1;10706;7;7;4;0;22;450;0;0;0;24;0;0;24;0;10;530;101.4080811;6860;0
2022;1;15122;12;11;1;1;10706;7;7;4;0;0;300;0;500;10;30;0;0;24;0;60;924;48.64837646;6860;0
2022;1;15122;72;11;1;1;10706;7;7;4;0;15;780;0;1500;38;0;0;0;30;0;225;2588;62.70922089;6860;0
2022;1;15122;74;11;1;1;10706;7;7;4;0;9;10;0;0;0;0;0;0;45;0;55;119;59.59428787;6860;0
2022;1;15122;75;11;1;1;10706;7;7;4;0;0;500;0;1500;0;0;0;0;0;0;0;2000;145.9985046;6860;0
2022;1;15122;77;11;1;1;10706;7;7;4;0;5;0;0;0;0;25;0;0;80;0;0;110;59.59428787;6860;0
2022;1;15122;79;11;1;1;10706;7;7;4;0;29;0;0;0;0;0;0;0;76;0;70;175;59.59428787;6860;0
2022;1;15155;118;11;1;1;10707;7;7;4;0;22;0;0;0;20;100;0;0;35;0;0;177;63.14276505;6840;0
2022;1;15155;119;11;1;1;10707;7;7;4;0;14;0;0;0;20;70;0;0;0;0;0;104;63.14276505;6840;0
2022;1;15155;269;11;1;1;10707;7;7;4;0;15;0;0;0;0;105;0;0;0;0;0;120;72.04776764;6840;0
2022;1;15180;10;11;3;3;10202;7;7;4;0;90;0;0;0;0;0;0;0;275;0;100;465;62.70922089;6570;0
2022;1;15180;10;11;5;5;10202;7;7;4;0;48;0;25;0;0;0;0;0;80;0;6;159;63.14276505;6570;0
2022;1;15180;12;11;2;2;10202;7;7;4;0;5;0;0;1440;0;0;0;0;0;0;700;2145;72.04776764;6570;0
2022;1;15180;267;11;1;1;10202;7;7;4;1500;0;3600;28;0;0;0;0;0;0;0;30;5158;72.04776764;6570;0
